Description,Current_Progress_consolidated_data,component,baseline_consolidated_data,actual_consolidated_data,Target_consolidated_data,Date,Month,Year,Quarter,State,Latitude,Longitude,indicator,Current_Progress_summed_data,baseline_summed_data,Target_summed_data,actual_summed_data,%achieved_consolidated_data,%achieved_summed_data
Number of toilets with WASH facilities for girls constructed in public senior secondary schools that receive School Improvement Grants as part of the project,276,Component 1 Indicators,145,631,2542,2026-03-01,3,2026,Q1,KATSINA,12.9855,7.617,Number of toilets with WASH facilities for girls constructed in public senior secondary schools that receive School Improvement Grants as part of the project,4484,93,959322,4390,24.822974036191976,0.45761485715953554
"Number of schools with both (a) a teachers' codes of conduct (including training), and (b) GBV/SEA awareness through a confidential reporting mechanism with referral pathway",203,Component 1 Indicators,147,555,2503,2026-04-01,4,2026,Q2,KATSINA,12.9855,7.617,"Number of schools with both (a) a teachers' codes of conduct (including training), and (b) GBV/SEA awareness through a confidential reporting mechanism with referral pathway",3272,82,879078,3189,22.17339192968438,0.3627664439333028
Number of community members directly reached at local level on the importance of girls’ education.,25311,Component 2 Indicators,150,25661,27644,2026-05-01,5,2026,Q2,KATSINA,12.9855,7.617,Number of community members directly reached at local level on the importance of girls’ education.,379739,25,860384,379713,92.8266531616264,44.132968534979724
State has designed and implemented the media outreach program,0,Component 2 Indicators,152,0,0,2026-06-01,6,2026,Q2,KATSINA,12.9855,7.617,State has designed and implemented the media outreach program,0,100,1000000,0,,0.0
"Number of states that have operationalized the scholarship program by (i) Completing targeting including the establishment of the beneficiary register (ii) Establishing monitoring mechanisms, and (iii) Establishing payment modalities  including contracting of FSP",0,Component 2 Indicators,155,0,0,2026-07-01,7,2026,Q3,KATSINA,12.9855,7.617,"Number of states that have operationalized the scholarship program by (i) Completing targeting including the establishment of the beneficiary register (ii) Establishing monitoring mechanisms, and (iii) Establishing payment modalities  including contracting of FSP",0,83,887096,0,,0.0
"Has your state completed targeting, including the establishment of the beneficiary register?",0,Component 2 Indicators,157,0,0,2026-08-01,8,2026,Q3,KATSINA,12.9855,7.617,"Has your state completed targeting, including the establishment of the beneficiary register?",0,1,311290,0,,0.0
Has your state established monitoring mechanisms?,0,Component 2 Indicators,160,0,0,2026-09-01,9,2026,Q3,KATSINA,12.9855,7.617,Has your state established monitoring mechanisms?,0,3,322580,0,,0.0
"Has your state established payment modalities, including contracting of FSP?",0,Component 2 Indicators,162,0,0,2026-10-01,10,2026,Q4,KATSINA,12.9855,7.617,"Has your state established payment modalities, including contracting of FSP?",0,4,333870,0,,0.0
"Number of girls (a) meeting the eligibility criteria and (b) receiving the scholarship upon; transitioning to JSS, continuing their education in JS2 or JS3, transitioning to SS1 and continuing their education in SS2 or SS3.",2808,Component 2 Indicators,165,3143,5341,2026-11-01,11,2026,Q4,KATSINA,12.9855,7.617,"Number of girls (a) meeting the eligibility criteria and (b) receiving the scholarship upon; transitioning to JSS, continuing their education in JS2 or JS3, transitioning to SS1 and continuing their education in SS2 or SS3.",42120,32,567926,42087,58.84665792922673,7.410648570412342
Number of girls (a) meeting the eligibility criteria and (b) receiving the scholarship upon transitioning to JSS,1782,Component 2 Indicators,167,2114,4348,2026-12-01,12,2026,Q4,KATSINA,12.9855,7.617,Number of girls (a) meeting the eligibility criteria and (b) receiving the scholarship upon transitioning to JSS,52216,30,566732,52185,48.62005519779209,9.208056012365633
Number of girls (a) meeting the eligibility criteria and (b) continuing their education in JS2 or JS3,401,Component 2 Indicators,170,731,3001,2027-01-01,1,2027,Q1,KATSINA,12.9855,7.617,Number of girls (a) meeting the eligibility criteria and (b) continuing their education in JS2 or JS3,27290,27,519225,27262,24.358547150949683,5.250517598343685
Number of girls (a) meeting the eligibility criteria and (b) transitioning to SS1,376,Component 2 Indicators,172,703,3009,2027-02-01,2,2027,Q1,KATSINA,12.9855,7.617,Number of girls (a) meeting the eligibility criteria and (b) transitioning to SS1,20348,33,557444,20314,23.363243602525756,3.644132863570152
Number of girls (a) meeting the eligibility criteria and (b) continuing their education in SS2 or SS3,249,Component 2 Indicators,175,574,2915,2027-03-01,3,2027,Q1,KATSINA,12.9855,7.617,Number of girls (a) meeting the eligibility criteria and (b) continuing their education in SS2 or SS3,13061,29,516286,13031,19.691252144082334,2.523988641954266
"Number of total beneficiaries of social safety net programs, including those receiving scholarships and those receiving cooking stoves",2808,Component 2 Indicators,177,3130,5508,2027-04-01,4,2027,Q2,KATSINA,12.9855,7.617,"Number of total beneficiaries of social safety net programs, including those receiving scholarships and those receiving cooking stoves",42120,96,1019539,42023,56.82643427741467,4.121764836852734
Number of total beneficiaries of cooking stoves,0,Component 2 Indicators,180,0,0,2027-05-01,5,2027,Q2,KATSINA,12.9855,7.617,Number of total beneficiaries of cooking stoves,0,95,966129,0,,0.0
Number of students participating in safe space sessions for adolescent girls,3897,Component 2 Indicators,182,4214,6663,2027-06-01,6,2027,Q2,KATSINA,12.9855,7.617,Number of students participating in safe space sessions for adolescent girls,146102,90,1078360,146011,63.24478463154735,13.540097926480952
"Number of schools that (i) have been equipped with tablets, (ii) have teachers who have been trained, and (iii) are training students in digital literacy for at least one hour per week",99,Component 2 Indicators,185,414,2899,2027-07-01,7,2027,Q3,KATSINA,12.9855,7.617,"Number of schools that (i) have been equipped with tablets, (ii) have teachers who have been trained, and (iii) are training students in digital literacy for at least one hour per week",1485,80,866001,1404,14.280786478095894,0.16212452410563039
Number of students in schools running digital literacy programs who attend sessions for at least one hour per week,14880,Component 2 Indicators,187,15192,17713,2027-08-01,8,2027,Q3,KATSINA,12.9855,7.617,Number of students in schools running digital literacy programs who attend sessions for at least one hour per week,253001,88,1173968,252912,85.76751538418111,21.543347007754896
Number of grievances received using the grievance redressal mechanisms that currently exist or will be established by participating states,59,Component 2 Indicators,190,369,2925,2027-09-01,9,2027,Q3,KATSINA,12.9855,7.617,Number of grievances received using the grievance redressal mechanisms that currently exist or will be established by participating states,915,62,741237,852,12.615384615384615,0.11494299394120909
Number of grievances addressed using the grievance redressal mechanisms that currently exist or will be established by participating states,58,Component 2 Indicators,192,365,2958,2027-10-01,10,2027,Q4,KATSINA,12.9855,7.617,Number of grievances addressed using the grievance redressal mechanisms that currently exist or will be established by participating states,888,61,729920,826,12.339418526031103,0.1131630863656291
Number of girls benefiting from non-formal education in non-formal education centers,0,Component 2 Indicators,195,0,0,2027-11-01,11,2027,Q4,KATSINA,12.9855,7.617,Number of girls benefiting from non-formal education in non-formal education centers,0,41,593548,0,,0.0
Has your state adopted and implemented national policy on gender education?,0,Component 3 Indicators,197,0,0,2027-12-01,12,2027,Q4,KATSINA,12.9855,7.617,Has your state adopted and implemented national policy on gender education?,0,0,300000,0,,0.0
Number of schools implementing awareness programs on climate change,32,Component 3 Indicators,200,332,3032,2028-01-01,1,2028,Q1,KATSINA,12.9855,7.617,Number of schools implementing awareness programs on climate change,480,79,853705,400,10.949868073878628,0.04685459262860121
Number of public junior secondary schools that benefit from one or more project interventions,203,PDO Indicators,50,653,1203,2023-01-01,1,2023,Q1,KOGI,7.7969,6.743,Number of public junior secondary schools that benefit from one or more project interventions,3637,75,834282,3561,54.2809642560266,0.42683409206958794
Number of students enrolled in public junior secondary schools who will benefit from one or more of the project interventions,65354,PDO Indicators,52,65801,66387,2023-02-01,2,2023,Q1,KOGI,7.7969,6.743,Number of students enrolled in public junior secondary schools who will benefit from one or more of the project interventions,1280591,85,2178978,1280505,99.11729706117161,58.76631154605507
Number of public senior secondary schools that benefit from one or more project interventions,203,PDO Indicators,55,648,1269,2023-03-01,3,2023,Q1,KOGI,7.7969,6.743,Number of public senior secondary schools that benefit from one or more project interventions,3731,77,845666,3653,51.06382978723404,0.4319672305614746
Number of students enrolled in public senior secondary schools who will benefit from one or more of the project interventions,65003,PDO Indicators,57,65445,66103,2023-04-01,4,2023,Q2,KOGI,7.7969,6.743,Number of students enrolled in public senior secondary schools who will benefit from one or more of the project interventions,1225929,87,2135606,1225841,99.00458375565405,57.400147780068046
Number of OOS children who will benefit from nonformal education,0,PDO Indicators,60,0,0,2023-05-01,5,2023,Q2,KOGI,7.7969,6.743,Number of OOS children who will benefit from nonformal education,0,11,379032,0,,0.0
Number of girls enrolled in public junior secondary schools who will benefit from one or more of the project interventions,32897,PDO Indicators,62,33334,34063,2023-06-01,6,2023,Q2,KOGI,7.7969,6.743,Number of girls enrolled in public junior secondary schools who will benefit from one or more of the project interventions,629301,46,1256720,629254,97.85984792883774,50.071137564453494
Number of girls enrolled in public senior secondary schools who will benefit from one or more of the project interventions,32832,PDO Indicators,65,33267,34032,2023-07-01,7,2023,Q3,KOGI,7.7969,6.743,Number of girls enrolled in public senior secondary schools who will benefit from one or more of the project interventions,623363,53,1295943,623309,97.75211565585332,48.09694562183676
Number of OOS girls who will benefit from nonformal education,0,PDO Indicators,67,0,0,2023-08-01,8,2023,Q3,KOGI,7.7969,6.743,Number of OOS girls who will benefit from nonformal education,0,12,390322,0,,0.0
Number of boys enrolled in public junior secondary schools who will benefit from one or more of the project interventions,32457,PDO Indicators,70,32887,33723,2023-09-01,9,2023,Q3,KOGI,7.7969,6.743,Number of boys enrolled in public junior secondary schools who will benefit from one or more of the project interventions,655338,16,1068241,655321,97.52097974676037,61.34580118156858
Number of boys enrolled in public senior secondary schools who will benefit from one or more of the project interventions,32171,PDO Indicators,72,32598,33471,2023-10-01,10,2023,Q4,KOGI,7.7969,6.743,Number of boys enrolled in public senior secondary schools who will benefit from one or more of the project interventions,604956,17,1029149,604938,97.39177198171551,58.780409833755854
Number OOS boys who will benefit from nonformal education,0,PDO Indicators,75,0,0,2023-11-01,11,2023,Q4,KOGI,7.7969,6.743,Number OOS boys who will benefit from nonformal education,0,8,356451,0,,0.0
